City;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason
Los Angeles;Male;No;No;No;2;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;53,85;108,15;Yes;1;86;3239;Competitor made better offer
Friant;Female;No;No;No;10;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;98,5;1058,25;Yes;1;74;5184;Attitude of service provider
Kerman;Male;No;No;No;6;Yes;No;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;85,35;489,45;Yes;1;75;4694;Attitude of service provider
Orosi;Female;No;No;No;2;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Mailed check;86,2;178,7;Yes;1;95;2969;Attitude of service provider
Fresno;Male;No;Yes;No;21;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;111,2;2317,1;Yes;1;89;4123;Attitude of service provider
Los Angeles;Female;No;Yes;No;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);55,2;528,35;Yes;1;78;5925;Competitor offered higher download speeds
Los Angeles;Male;Yes;No;No;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;39,65;39,65;Yes;1;100;5433;Competitor offered more data
Los Angeles;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,15;20,15;Yes;1;92;4832;Competitor made better offer
Acampo;Male;No;Yes;No;13;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Mailed check;96,65;1162,85;Yes;1;75;5295;Attitude of service provider
Los Angeles;Male;No;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;30,2;30,2;Yes;1;97;2915;Competitor had better devices
Los Angeles;Female;No;No;No;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;64,7;1093,1;Yes;1;74;3022;Competitor offered higher download speeds
Glencoe;Female;Yes;Yes;No;3;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80,4;224,05;Yes;1;89;3834;Attitude of service provider
Atwater;Female;No;No;No;6;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Credit card (automatic);109,9;669,45;Yes;1;69;5750;Attitude of service provider
Big Oak Flat;Male;No;No;No;15;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;101,35;1553,95;Yes;1;99;3025;Attitude of service provider
Twain;Female;No;No;No;14;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Electronic check;75,35;1025,95;Yes;1;71;4995;Attitude of service provider
Yuba City;Male;No;No;No;8;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;No;Electronic check;100,85;819,55;Yes;1;97;3849;Attitude of service provider
Anderson;Female;No;Yes;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;69,95;330,15;Yes;1;81;2969;Attitude of service provider
Cottonwood;Female;No;No;No;1;Yes;No;Fiber optic;No;Yes;No;Yes;Yes;No;Month-to-month;No;Electronic check;91,7;91,7;Yes;1;71;4319;Attitude of service provider
Douglas City;Female;No;No;No;16;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Credit card (automatic);95,6;1555,65;Yes;1;96;5915;Attitude of service provider
Fall River Mills;Male;No;No;No;1;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,95;74,95;Yes;1;82;2591;Attitude of service provider
Apple Valley;Female;Yes;Yes;No;32;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;93,2;2931;Yes;1;90;5247;Attitude of service provider
Apple Valley;Male;No;Yes;No;17;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;No;Electronic check;80,85;1400,85;Yes;1;77;5174;Attitude of service provider
Inglewood;Male;No;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;21,05;113,85;Yes;1;66;2604;Network reliability
Fontana;Female;No;Yes;No;8;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);85,2;627,4;Yes;1;95;2887;Attitude of service provider
Santa Monica;Male;No;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110;7611,85;Yes;1;86;5034;Lack of affordable download/upload speed
Ludlow;Female;No;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;75,25;242;Yes;1;83;5898;Attitude of service provider
Wrightwood;Female;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,55;70,55;Yes;1;82;2146;Attitude of service provider
San Bernardino;Female;No;Yes;No;33;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Credit card (automatic);86,15;2745,7;Yes;1;66;3336;Attitude of service provider
Moreno Valley;Male;Yes;Yes;No;29;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;98,5;3004,15;Yes;1;72;5137;Attitude of service provider
Murrieta;Male;Yes;Yes;No;13;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,25;1233,65;Yes;1;97;2982;Attitude of service provider
Avalon;Female;No;Yes;No;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);58,6;1502,65;Yes;1;99;4190;Lack of self-service on Website
Harbor City;Male;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;35,45;35,45;Yes;1;80;2301;Network reliability
Lakewood;Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;44,35;81,25;Yes;1;76;2570;Don't know
Nuevo;Male;Yes;Yes;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;74,4;527,9;Yes;1;96;4969;Attitude of service provider
San Pedro;Female;No;No;No;8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Electronic check;71,15;563,65;Yes;1;66;2662;Don't know
Carson;Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;45,65;45,65;Yes;1;73;2600;Poor expertise of online support
Corona Del Mar;Female;Yes;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;91,3;91,3;Yes;1;71;2371;Attitude of service provider
Dana Point;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;79,5;79,5;Yes;1;92;4490;Attitude of service provider
